"","Date","Max","Min","GDDDaily","1E","1W","28W","26N","640","712"
"1","05/23/2022",62.1,32.8,6.05,6.05,6.05,NA,NA,NA,NA
"2","5/24/2022",66,41,8,14.05,14.05,8,8,NA,NA
"3","5/25/2022",64,49.8,7,21.05,21.05,15,15,NA,NA
"4","5/26/2022",73.6,57.8,15.7,36.75,36.75,30.7,30.7,NA,NA
"5","5/27/2022",67.8,53.1,10.45,47.2,47.2,41.15,41.15,NA,NA
"6","5/28/2022",75,49.8,12.5,59.7,59.7,53.65,53.65,NA,NA
"7","5/29/2022",83.1,60.1,21.6,81.3,81.3,75.25,75.25,NA,NA
"8","5/30/2022",90.1,66.9,26.45,107.75,107.75,101.7,101.7,NA,NA
"9","5/31/2022",83.1,69.1,26.1,133.85,133.85,127.8,127.8,26.1,NA
"10","6/1/2022",71.6,53.5,12.55,146.4,146.4,140.35,140.35,38.65,12.55
"11","6/2/2022",74.1,48.9,12.05,158.45,158.45,152.4,152.4,50.7,24.6
"12","6/3/2022",72.1,49.8,11.05,169.5,169.5,163.45,163.45,61.75,35.65
"13","6/4/2022",64,46.9,7,176.5,176.5,170.45,170.45,68.75,42.65
"14","6/5/2022",67.8,55,11.4,187.9,187.9,181.85,181.85,80.15,54.05
"15","6/6/2022",69.1,56.8,12.95,200.85,200.85,194.8,194.8,93.1,67
"16","6/7/2022",73,52.2,12.6,213.45,213.45,207.4,207.4,105.7,79.6
"17","6/8/2022",65.1,55,10.05,223.5,223.5,217.45,217.45,115.75,89.65
"18","6/9/2022",75,49.8,12.5,236,236,229.95,229.95,128.25,102.15
"19","6/10/2022",73,54.1,13.55,249.55,249.55,243.5,243.5,141.8,115.7
"20","6/11/2022",73,56.8,14.9,264.45,264.45,258.4,258.4,156.7,130.6
"21","6/12/2022",73,57.9,15.45,279.9,279.9,273.85,273.85,172.15,146.05
"22","6/13/2022",76.8,54.1,15.45,295.35,295.35,289.3,289.3,187.6,161.5
"23","6/14/2022",95,66.9,26.45,321.8,321.8,315.75,315.75,214.05,187.95
"24","6/15/2022",90.1,73,29.5,351.3,351.3,345.25,345.25,243.55,217.45
"25","6/16/2022",84.9,61,22.95,374.25,374.25,368.2,368.2,266.5,240.4
"26","6/17/2022",79.9,60.1,20,394.25,394.25,388.2,388.2,286.5,260.4
"27","6/18/2022",75,49.8,12.5,406.75,406.75,400.7,400.7,299,272.9
"28","6/19/2022",82,48.9,16,422.75,422.75,416.7,416.7,315,288.9
"29","6/20/2022",92.1,63.1,24.55,447.3,447.3,441.25,441.25,339.55,313.45
"30","6/21/2022",95.9,72.1,29.05,476.35,476.35,470.3,470.3,368.6,342.5
"31","6/22/2022",83.1,66,24.55,500.9,500.9,494.85,494.85,393.15,367.05
"32","6/23/2022",84.9,58.8,21.85,522.75,522.75,516.7,516.7,415,388.9
"33","6/24/2022",90.1,65.1,25.55,548.3,548.3,542.25,542.25,440.55,414.45
"34","6/25/2022",79,66,22.5,570.8,570.8,564.75,564.75,463.05,436.95
"35","6/26/2022",72.1,58.8,15.45,586.25,586.25,580.2,580.2,478.5,452.4
"36","6/27/2022",75,51.1,13.05,599.3,599.3,593.25,593.25,491.55,465.45
"37","6/28/2022",82,55.9,18.95,618.25,618.25,612.2,612.2,510.5,484.4
"38","6/29/2022",84.9,57.9,21.4,639.65,639.65,633.6,633.6,531.9,505.8
"39","6/30/2022",88,66,26,665.65,665.65,659.6,659.6,557.9,531.8
"40","7/1/2022",79.9,66,22.95,688.6,688.6,682.55,682.55,580.85,554.75
